Month,Travellers('000)
Jan-91,1724
Feb-91,1638
Mar-91,1987
Apr-91,1825
May-91,
Jun-91,1879
Jul-91,1957
Aug-91,2027
Sep-91,1609
Oct-91,1740
Nov-91,1689
Dec-91,1831
Jan-92,
Feb-92,1574
Mar-92,1908
Apr-92,1973
May-92,
Jun-92,1637
Jul-92,1919
Aug-92,2011
Sep-92,1720
Oct-92,1824
Nov-92,1875
Dec-92,1890
Jan-93,1720
Feb-93,1632
Mar-93,
Apr-93,1974
May-93,1932
Jun-93,1895
Jul-93,1949
Aug-93,
Sep-93,1690
Oct-93,1770
Nov-93,1733
Dec-93,1748
Jan-94,1575
Feb-94,1590
Mar-94,1920
Apr-94,1850
May-94,1845
Jun-94,1791
Jul-94,1883
Aug-94,1922
Sep-94,1703
Oct-94,1791
Nov-94,1791
Dec-94,1797
Jan-95,1560
Feb-95,1510
Mar-95,1813
Apr-95,1747
May-95,1785
Jun-95,1777
Jul-95,1805
Aug-95,1887
Sep-95,1583
Oct-95,1664
Nov-95,1688
Dec-95,1671
Jan-96,1399
Feb-96,1376
Mar-96,1573
Apr-96,1620
May-96,1710
Jun-96,1709
Jul-96,1852
Aug-96,1959
Sep-96,1565
Oct-96,1701
Nov-96,1588
Dec-96,1713
Jan-97,1412
Feb-97,
Mar-97,1721
Apr-97,1667
May-97,1780
Jun-97,1788
Jul-97,1951
Aug-97,2021
Sep-97,
Oct-97,1790
Nov-97,1749
Dec-97,1810
Jan-98,1583
Feb-98,1425
Mar-98,1767
Apr-98,1842
May-98,1855
Jun-98,1838
Jul-98,1985
Aug-98,1938
Sep-98,1685
Oct-98,1803
Nov-98,1829
Dec-98,1861
Jan-99,
Feb-99,1562
Mar-99,1848
Apr-99,1854
May-99,1858
Jun-99,1877
Jul-99,1983
Aug-99,1965
Sep-99,1622
Oct-99,
Nov-99,1864
Dec-99,1851
Jan-00,1559
Feb-00,1629
Mar-00,1932
Apr-00,1988
May-00,2004
Jun-00,2025
Jul-00,2066
Aug-00,2110
Sep-00,1839
Oct-00,1992
Nov-00,1996
Dec-00,2015
Jan-01,1696
Feb-01,1675
Mar-01,2022
Apr-01,2036
May-01,2060
Jun-01,2087
Jul-01,2141
Aug-01,2220
Sep-01,1720
Oct-01,1967
Nov-01,1991
Dec-01,2001
Jan-02,1777
Feb-02,1786
Mar-02,2032
Apr-02,
May-02,2086
Jun-02,2011
Jul-02,2089
Aug-02,2044
Sep-02,1746
Oct-02,1930
Nov-02,1874
Dec-02,2010
Jan-03,1794
Feb-03,1762
Mar-03,2082
Apr-03,2116
May-03,2121
Jun-03,2144
Jul-03,2236
Aug-03,
Sep-03,1943
Oct-03,2135
Nov-03,2091
Dec-03,2155
Jan-04,1848
Feb-04,1852
Mar-04,2145
